23.6	Asymptotic Bethe ansatz and the cusp anomalous dimension	559
23.7	Nested Bethe ansatz	564
23.8	Bethe-Yang equations	569
23.9	Bound states	571
24.1	Mirror model and thermodynamic Bethe ansatz	573
24.2	Bethe strings of the mirror model	577
24.3	Mirror TBA	580
24.4	The $Y$-system	582
24.5	Excited states in finite volume and asymptotic conditions	585
24.6	The Konishi operator and wrapping corrections	588
24.7	The quantum spectral curve	591
24.8	Asymptotic conditions for the ${\bf P}\mu $-system	596
24.9	String spectrum from the quantum spectral curve	599
25.1	Maldacena-Wilson lines in ${\cal N}=4$ SYM	604
25.2	Cuspy Wilson lines	605
25.3	Bremsstrahlung	608
25.4	Witten's model of holographic confinement	610
25.5	Sakai-Sugimoto model of holographic QCD	613
25.6	Klebanov-Witten theory	620
25.7	Holographic RG cascade	627
26.1	M-theory and the D0-brane quantum mechanics	636
26.2	Thermodynamics of the D0-brane quantum mechanics	637
26.3	The M-theory S-matrix: a conjecture	638
26.4	Matrix string theory	640
B.1	Path integral formulation of quantum mechanics	654
B.2	Path integral with Grassmann-odd field variables	655
B.3	Tunneling and instantons	658
B.4	A supersymmetric model	659
B.5	Borel resummation	668
B.6	Lefschetz thimbles	670
C.1	The Faddeev-Popov ansatz	672
C.2	Batalin-Vilkovisky quantization of gauge theory	673
D.1	Field operators	676
D.2	Correlation functions	677
D.3	Conformal symmetry	679
D.4	Operator product expansion	679
E.1	2D conventions	682
E.2	2D conformal symmetry	682
E.3	The Virasoro algebra	686
E.4	Weyl anomaly	689
E.5	Representations of Virasoro algebra	691
E.6	Conformal correlators and conformal blocks	693
E.7	Recurrence formulae and analytic property of conformal blocks	698
F.1	The sphere	704
F.2	The torus	705
F.3	Genus $h\geq 2$	706
F.4	Modular invariance of 2D CFT	708
G.1	Free bosons	712
G.2	Free boson on a Riemann surface	715
G.3	Free fermions	717
G.4	Free fermion on a Riemann surface	721
H.1	The Ising CFT	723
H.2	Topological defect lines	725
H.3	Orbifolds	728
H.4	Narain lattice	731
I.1	Weyl anomaly in the nonlinear sigma model	733
I.2	Some conformal nonlinear sigma models	735
I.3	Buscher rules of T-duality	736
I.4	Gauged WZW and coset models	738
I.5	Liouville CFT	739
J.1	$(1,1)$ superspace	744
J.2	${\cal N}=1$ superconformal algebra	745
J.3	$(2,2)$ superspace	748
J.4	${\cal N}=2$ superconformal algebra	749
J.5	${\cal N}=4$ superconformal algebra	751
K.1	Landau-Ginzburg models	753
K.2	Gauged linear sigma models	754
K.3	The flows to Calabi-Yau and Landau-Ginzburg models	757
K.4	Abelian duality of $(2,2)$ theories	759
K.5	Mirror duality between ${\cal N}=2$ cigar and Liouville CFT	761
L.1	Spinor representations from the Clifford algebra	763
L.2	Majorana condition and conjugation	764
L.3	$so(1,9)$ spinor conventions	765
L.4	$so(1,3)$ spinor conventions	766
L.5	$so(1,2)$ spinor conventions	767
L.6	Euclidean spinors	767
M.1	1-particle representations of supersymmetry	769
M.2	4D ${\cal N}=1$ superspace	770
M.3	(Non-)renormalization in 4D ${\cal N}=1$ gauge theories	774
M.4	4D ${\cal N}=2$ gauge theories	776
M.5	3D supersymmetric gauge theories	777
N.1	Spinor fields in curved space	779
N.2	11-dimensional supergravity	779
N.3	Type II supergravity	780
N.4	Type I supergravity	783
N.5	4D ${\cal N}=2$ supergravity	784
N.6	4D ${\cal N}=1$ supergravity	787
O.1	Axial anomaly	789
O.2	Gauge anomaly	792
O.3	Gravitational anomaly	794
O.4	Anomaly cancellation in superstring theories	799
P.1	Conformal boundary conditions	801
P.2	The boundary state	803
P.3	Neumann and Dirichlet boundary conditions in the free boson CFT	804
P.4	Neumann and Dirichlet boundary conditions in a free fermion CFT with diagonal GSO projection	807
Q.1	One-matrix quantum mechanics	809
Q.2	The $c=1$ MQM	810
Q.3	Particle-hole scattering and non-perturbative effects in the $c=1$ MQM	813
Q.4	Non-singlet sector and long string states	814
R.1	The boundary condition on a bulk scalar field	816
R.2	The two-point function	817
R.3	Gauge field in AdS	818
R.4	Gravity in AdS	819
R.5	Witten diagrams	820
R.6	Mellin amplitudes	821
